"Success","Group","Year"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","A","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"No","B","One"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","A","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"Yes","B","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","A","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
"No","B","Two"
